atomical_number,atomical_id,atommap_number,sort,atomical_bitworkc,filepath,bitworkc_number
54434,ab047b1019b8e1fb08a64b2183a5708add864809ff109e63b12e1cacf106b2dei0,0,0,ab0,C:\Users\31905\Downloads\atommap_svg_final\0.atommap.svg,0
54782,ab10fd76a1386ab351817f5a9c4a8cac34736d585f7d4db4ba89c865d45d05d5i0,10,0,ab10,C:\Users\31905\Downloads\atommap_svg_final\10.atommap.svg,10
54977,ab100580487b20c23d8d469a1c98d0750f4ab24600372d7f00c4f5dfeb75dd16i0,100,0,ab100,C:\Users\31905\Downloads\atommap_svg_final\100.atommap.svg,100
55706,ab1d66fac6a1e7f955c15ccf017fd0ac71f37895b263b8a9df0f515df8d7c238i0,1,0,ab1,C:\Users\31905\Downloads\atommap_svg_final\1.atommap.svg,1
55707,ab98d9b85bb27592a5bb9781a0e6afa0f68586041af80ebbcb4a4891baa4c9d1i0,9,0,ab9,C:\Users\31905\Downloads\atommap_svg_final\9.atommap.svg,9
55708,ab48e29830cc9be143ab9ebbcb967fea794ce2bc5b5e236ea728aa5f7caba162i0,4,0,ab4,C:\Users\31905\Downloads\atommap_svg_final\4.atommap.svg,4
55709,ab3c6315c79ddd97398ec532900055581b5be06ee5a4bbb84d2cedf6a544ba1ai0,3,0,ab3,C:\Users\31905\Downloads\atommap_svg_final\3.atommap.svg,3
55710,ab8470d11741c6b72e4be4339e132aef59ef5f3346abd8e36d83433db70bc1d9i0,8,0,ab8,C:\Users\31905\Downloads\atommap_svg_final\8.atommap.svg,8
55711,ab77add0aa85a796d70e262990e29aead38b576a3b4f6b702e76fab7b331f81ei0,7,0,ab7,C:\Users\31905\Downloads\atommap_svg_final\7.atommap.svg,7
55712,ab62e5875898c47991f7bfff66c4dee5549f25e98f1acfb95927df59fc97d4b1i0,6,0,ab6,C:\Users\31905\Downloads\atommap_svg_final\6.atommap.svg,6
55713,ab23e5148156f35c22e43c291d8283f56a8649b867a0a9f0ffdc863c847895cai0,2,0,ab2,C:\Users\31905\Downloads\atommap_svg_final\2.atommap.svg,2
55714,ab56a2a4769b6383d81409226e22b8ff9f51f65e23c56452a41718a03dc59ecci0,5,0,ab5,C:\Users\31905\Downloads\atommap_svg_final\5.atommap.svg,5
55715,ab501654b2568a375d3ce631975a0d129537df390e4829fc74fa80823ecf8007i0,5,1,ab5,5.atommap.svg,5
55716,ab75e1cf04a9fe323fb303398778987ff7c11910c5be28c2b7ec752a7cec5597i0,7,1,ab7,7.atommap.svg,7
55718,ab77c681d3868e943ea2f9d5c5845a80dbf41d12f5ec7c1b22750233c09e6452i0,77,0,ab77,77.atommap.svg,77
55719,ab8614ff6e8fd56bfdd1aff5edc1f5e4432dc213fe11648f5919725afab0d2c2i0,86,0,ab86,86.atommap.svg,86
55720,ab837646c1009e8bf8834defa748e3979920852fed718e61591b36bb7439049ci0,83,0,ab83,83.atommap.svg,83
55721,ab8298cf93da594979ccf52bf9e4a74f85de7261fc5f5958b616dc77ed580e08i0,82,0,ab82,82.atommap.svg,82
55722,ab6644afad300ece0d19eb781fdec34bbfffacbf44b043ccda740f7ef3df6155i0,66,0,ab66,66.atommap.svg,66
55724,ab66b635db92bf68cbf0efa6be318e91f69abd168e74b06091ee01b4780d7e3di0,6,1,ab6,6.atommap.svg,6
55725,ab55f058ae25863ec9334088ca2f12fc826b3ccc53cae289ed8971a316e341f4i0,55,0,ab55,55.atommap.svg,55
55726,ab96d01b1c0514f546d660eab7a55322949c8bae76fc0c4ae29552b8e830983ei0,9,1,ab9,9.atommap.svg,9
55728,ab52556fc76c82496890edfaeede4364edd8f3fa14ce49ddaaf22426d7870540i0,52,0,ab52,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\52.atommap.svg,52
55729,ab99e6ba2ead7550700fd9b85b6be3bbdf977a9a145606fafa742820213ea9bei0,99,0,ab99,99.atommap.svg,99
55730,ab330177cbcd94558f948d0c4516d55782c40e51b37d226b9116a29f04002061i0,33,0,ab33,33.atommap.svg,33
55731,ab775996993c295239625d2a06f9461388cfbe66d191fb6cea09d63f491f8121i0,77,1,ab77,77.atommap.svg,77
55732,ab2222bb6a771be7efebbc88c29f08699f72ac7854bf601af8161d540f28505ai0,22,0,ab22,22.atommap.svg,22
55733,ab883671f9a3f5de98fc58d794ae5858aef76d55937e2ae66f52bf0eb11d780bi0,88,0,ab88,88.atommap.svg,88
55734,ab90e7292b9229c93178d0af6e34b99b288580740725b5f5d00e88cac8b9daf1i0,90,0,ab90,90.atommap.svg,90
55735,ab971fc18ceafe695aa0043090a71602500fa7890885d549c6285f26287feb8di0,97,0,ab97,97.atommap.svg,97
55736,ab91d5cb0baf2e8658720adcb46e44781b66bef3566d5b3d8f3769fcdd4b7f86i0,91,0,ab91,91.atommap.svg,91
55738,ab615b0952c9aaf5fb9aec91e1da2256b3eb78fcc535e99c99c52e9400ce2b1ei0,61,0,ab61,61.atommap.svg,61
55741,ab93820a1f030cc928f67ca56c4bbff20333569b3e2bbb3e9afc9c221813d6a1i0,93,0,ab93,93.atommap.svg,93
55742,ab920fd9cd0f774a760ce2d20737c3ba56f7634fe64b644d1d2f089e7c826badi0,92,0,ab92,92.atommap.svg,92
55743,ab94ef06e6f42b1da342048e418da70493a836f8f41e730fc93b32a19c8b479di0,94,0,ab94,94.atommap.svg,94
55744,ab958a07af33d6468cba52c1acb153dcd43e208594fcf3f6db57d5be5d06b344i0,95,0,ab95,95.atommap.svg,95
55747,ab968b1e99b4f667a7bde8d51391bae8b78767af1f1b34510746a4ec8bed7f8ei0,96,0,ab96,96.atommap.svg,96
55750,ab52fde872d76aa9dbfed746989c662e03ddeae33fb9ae68068cb4140f8ba250i0,52,1,ab52,52.atommap.svg,52
55752,ab285c1e700ea5e45f4c7a9ef5fc3043f2af02141f2a3fbc51df6d154be29ba1i0,28,0,ab28,28.atommap.svg,28
55753,ab372d8d2ca29ef3b16baa83e0a8a6c2003a009a1db6fe7567b931bcf8f822c2i0,37,0,ab37,37.atommap.svg,37
55754,ab459c7cb0a682b9357e7f5c643b40c37765cc9912dae7d7b45f0acb34af6c35i0,45,0,ab45,45.atommap.svg,45
55755,ab3f147ffcf6fd79843c0ace4337608c9718a06d49c5f7495b615109b1ab2937i0,3,1,ab3,3.atommap.svg,3
55756,ab42112616dadeeb2fe3156e637186070beebf2fb9bb626805055f681085628ai0,42,0,ab42,42.atommap.svg,42
55757,ab4685621595fa5ee84e9ecc252409bd1a9415d53af9c206e8436789709b9103i0,46,0,ab46,46.atommap.svg,46
55758,ab239564eff9bd96e64f7765cbe4b01f94998f1297e8c3df35fd4a853b8bbb36i0,23,0,ab23,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\23.atommap.svg,23
55759,ab7057730b59fc5fa6b04134c6ea63e842f082eecd6a1a9b784eb6db4afc9ef2i0,70,0,ab70,70.atommap.svg,70
55760,ab69172cf552e821205256dff23306b88c26b1ba83fe7624993fea49078fdca2i0,69,0,ab69,69.atommap.svg,69
55761,ab9109f56fa6d6b78cc415f3500ce6197de2a5624d2bad4f11164c0416ac1739i0,91,1,ab91,91.atommap.svg,91
55762,ab357f9acbd8a54b36d538c9b89558fdee5653d4a5b3960c9c44ba3f6ef57768i0,35,0,ab35,35.atommap.svg,35
55763,ab32928ad9028d0eacc082f2a1cee535a697eeda7735c510299e80ee5eaa2ed7i0,32,0,ab32,32.atommap.svg,32
55764,ab73764840ebb868a9dd2b30cd0071d2face098a7fc9cf0d42db7bed78061d9di0,73,0,ab73,73.atommap.svg,73
55765,ab676429f11f90d7198f2a1ceebeaae3ddd38da080a42101680a48b0983d1d7ei0,67,0,ab67,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\67.atommap.svg,67
55766,ab477d167933d978dab2e5965f5e7e86c4ce88e66fd89bd0ad244e81ed3b9a7ei0,47,0,ab47,47.atommap.svg,47
55768,ab54045164858265988ec2da69a64d086ace64eb652d1e731e235d47368aa9c4i0,54,0,ab54,54.atommap.svg,54
55769,ab68f231eeee000cc7a6d190b34bece457e5dfbc1b5733a3f793ff21ff0001f9i0,68,0,ab68,68.atommap.svg,68
55770,ab9964333997350976d51271c0156675a151174876d3df63c57fd9a2767df9dei0,99,1,ab99,99.atommap.svg,99
55771,ab3171bca6348c4c29c4b80e6a3ee31d49a453981f19c50b8094c0a4c8169aafi0,31,0,ab31,31.atommap.svg,31
55772,ab693764d30ab337ee7c83c36d30fe4fbfdece0c6a89e7997addd99d7b2e1fa5i0,69,1,ab69,69.atommap.svg,69
55773,ab85770c5898714d5117bec97367feb8fc2b47f4b69b350a4bac4a338dcc3fcfi0,85,0,ab85,85.atommap.svg,85
55775,ab463cd2dd440cce4a192b7ceb2b9fff765cf3850d8f20ee066de8896fc0e62di0,46,1,ab46,46.atommap.svg,46
55776,ab71122568a1b4f0977b0a39ac051f705d9dd5c774e31926e62944518d328384i0,71,0,ab71,71.atommap.svg,71
55779,ab7350c393cb708a04d9862ae7ebe1c974d6dbed3f36c3e4f75d4bb034a0cea3i0,73,1,ab73,73.atommap.svg,73
55780,ab39b74655669a73b09b960827bda8ae09f4a05af035c043f24babcd5ea908f0i0,39,0,ab39,39.atommap.svg,39
55781,ab48ed710b726e9aea6564a7e8a90df9bb3cdb5d3d3dca1d85e05a2db4b57b8fi0,48,0,ab48,48.atommap.svg,48
55782,ab4777724da94ef40f026e857643484ccc82177c55e0c2b75914859ea9e1a16bi0,47,1,ab47,47.atommap.svg,47
55783,ab453d30ad1fea609182ea211ac83c56c2ac45851594be94e19bc54200f59b52i0,45,1,ab45,45.atommap.svg,45
55784,ab46b42af523e1987c2d4754e9c2f831f3883718fd099b0676a20a68046635c0i0,46,2,ab46,46.atommap.svg,46
55785,ab383a8c7dc6d2c88f2900846940d189f175ef67cc894deb7cd08977bda16e44i0,38,0,ab38,38.atommap.svg,38
55786,ab4984a666973991d880e026be31b180f4d4b007a8ff863428d7457c6d7ef689i0,49,0,ab49,49.atommap.svg,49
55788,ab13b7e059f8d7f3b07ae4e83df2417973646838f897cfcd9835847525d8619bi0,13,0,ab13,13.atommap.svg,13
55789,ab14d4d692d21e0ee375981b0e4bdfa5724d01e5bd19868a5132d25e0c4fbe83i0,14,0,ab14,14.atommap.svg,14
55790,ab119176472bb1d6e0816837e67ec4dff5408b52aadb82da9cc4f335ea29bda6i0,11,0,ab11,11.atommap.svg,11
55791,ab12d1a42eca6a4a447d63914a72807c21a5f95515f0ec645a73cb42800bd7c5i0,12,0,ab12,12.atommap.svg,12
55792,ab31353a7866639601611027c9f1f50bf4fa9d3f96744e356308b3eb0c94b9adi0,31,1,ab31,31.atommap.svg,31
55793,ab29b4f43101594a07c2ec2923ad82d84ac33198cf3cbdaee638ccd44c404b79i0,29,0,ab29,29.atommap.svg,29
55794,ab3135f5428de493337614c95429c801a3fba9fae40a007a993d54b6b4de6d93i0,31,2,ab31,31.atommap.svg,31
55796,ab435429bf49e3c5a1784860f11887329421a0726f923f9a7c785b48cbca8a85i0,43,0,ab43,43.atommap.svg,43
55799,ab89f392b96b915357914d40aabf955395bb5e9909d0653b9c6d0d3ffc2647fbi0,89,0,ab89,89.atommap.svg,89
55800,ab85ce6b8b14518cff9b4b512d2002672a19385c046f37b9e6013350701ed886i0,85,1,ab85,85.atommap.svg,85
55801,ab844f031df4b7d1400229c0875a90431aca540692e67f844543b846904fb996i0,84,0,ab84,84.atommap.svg,84
55802,ab877b0d8bdaa31cec2cdfb168490e69d516fb63e5c54126cd6c6d4548211ae5i0,87,0,ab87,87.atommap.svg,87
55803,ab722f2dbe0b121abe6b02475d2819db43b2331c2c443455150660c3ac3ef387i0,72,0,ab72,72.atommap.svg,72
55804,ab814c4293aeae60918b421cd70ec9ce28b05514cb5a0b01a9fd4f17ff6dd32di0,81,0,ab81,81.atommap.svg,81
55805,ab70de0239580fc0a8f819c5325a23caa5811444abc0e9424fb522094e5b9aa8i0,70,1,ab70,70.atommap.svg,70
55806,ab80784bcccbb3debd839c96c61eba1c4c3274bca9720a20fe109b97b900fff5i0,80,0,ab80,80.atommap.svg,80
55807,ab42ad5f95d2e2e4e2d471ea633c8cfecd490fcf6f7a53f06037b9218f625990i0,42,1,ab42,42.atommap.svg,42
55808,ab75d9f41b52911005526f0598065580c53100420dcec77df8ea6def9da81bf6i0,75,0,ab75,75.atommap.svg,75
55809,ab35d7c67797d20c553fa4118982dadc685a0f8e5a5df4f8b4c4da6de0139d55i0,35,1,ab35,35.atommap.svg,35
55811,ab65e6141c73076bf1878344e942523c1268b62559997164110e626a637754b2i0,65,0,ab65,65.atommap.svg,65
55812,ab40f709ba337d97fa8581b256a09b941b62da6d736948cda731388de72bdad1i0,40,0,ab40,40.atommap.svg,40
55813,ab6312f2a4cbcfe881b72b3fbd499f528239574cd9387c758faa7508b2b0c0f6i0,63,0,ab63,63.atommap.svg,63
55814,ab79295b2eeefbaa9b93d9b87191b5bb600ce339e49073769f078948ba20f9bci0,79,0,ab79,79.atommap.svg,79
55816,ab1072c9052248b97ffaef31cba8f8bf6e674b3924aae7230d20cf94c312cfdfi0,10,1,ab10,10.atommap.svg,10
55817,ab345943f51378a5b2512d8c3ce5c57f13b193f2f9e3cd86cd34fb9abe9ed8cfi0,34,0,ab34,34.atommap.svg,34
55819,ab4145a4a36629f77a0e145793f231fc1484cb37052ada8bcf6cf37a51ab4902i0,41,0,ab41,41.atommap.svg,41
55820,ab406b5a4335595870c29f6002a4e12b11124233cf90da38b3336bebc9f4d8d2i0,40,1,ab40,40.atommap.svg,40
55822,ab6006f62ff97599bf955acac36a3269e404696954d09cdb5acab40f8d6f1e32i0,60,0,ab60,60.atommap.svg,60
55823,ab206c367e7f972a557a92ff8c2b89f0070c1289ec13be9671c966d0b0099d5ei0,20,0,ab20,20.atommap.svg,20
55824,ab47f8de0749fcb9b1451888add45c21a796a10317e648794ebda185b0f07314i0,47,2,ab47,47.atommap.svg,47
55825,ab492edaa779ec740a07e2ee61099a3e4e96bcfbf52fa010900423fbc3ee56dci0,49,1,ab49,49.atommap.svg,49
55826,ab5724bc9f349c4454e958fcc254647f7062dad7fccdb137c83ca08d5b45e238i0,57,0,ab57,57.atommap.svg,57
55827,ab570171248e3fbbbb9d25e4bb9ad4055b8ad24c46995bded2e0bee2ebabdda9i0,57,1,ab57,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\57.atommap.svg,57
55828,ab2968a98af687a6c9b7c57838dcf39bf28ee0bf912f028b6d229b00fbd42c2ei0,29,1,ab29,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\29.atommap.svg,29
55829,ab62ceb1e1c9a585c06b75abc10fda1234af22302903c0aaf8e655d5768a58e8i0,62,0,ab62,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\62.atommap.svg,62
55830,ab589fc6ddad9b1b3ae9c12a05ddc47d99db51461e5b0e651ea2aa32862bbccfi0,58,0,ab58,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\58.atommap.svg,58
55831,ab68e54e787105dfc170ce8bb5e97cd327d26be1b014572fca2ae848603b9dd6i0,68,1,ab68,68.atommap.svg,68
55832,ab19f3517a8d49f870df2ed12ad5339f267fe78158d7a4ae7daa0f2f6b3d7b63i0,19,0,ab19,19.atommap.svg,19
55834,ab36649bbcd5e717e5949cfb55d83a6895ddb2b5dec40a10d4b4f3832f0fddd0i0,36,0,ab36,36.atommap.svg,36
55835,ab213c50d37074fdd7c8c15b92009ce21799e0353ab976e91e2fbcc540298a14i0,21,0,ab21,21.atommap.svg,21
55836,ab32c01a700584139f983330d2130876c43c33e4779ded7253a4ab648d93ad74i0,32,1,ab32,32.atommap.svg,32
55837,ab1534d97f0d2f46f48757c208331b59fb94db0f6a254cc748f512a35fd1338fi0,15,0,ab15,15.atommap.svg,15
55838,ab16cd132037ed18ab6a975cba210df636d8fc810b46c61290afeb24f3838635i0,16,0,ab16,16.atommap.svg,16
55839,ab3635e469af6ac230fb7df525297f4d7539f1a4b74390505d98954e1e5b27b7i0,36,1,ab36,36.atommap.svg,36
55843,ab377715f476f16ee9b4d5503055b6fac6df7d6d2caa31bbdc62b5ed07d05f8ci0,37,1,ab37,37.atommap.svg,37
55844,ab33be8513a80b9f314baf25b32123aa47ed7b939bbf324d1a6938b8aaf0d309i0,33,1,ab33,33.atommap.svg,33
55845,ab32c062dbfaa664e27adcc750d713c9cc4bdfa971c6114032e487e4ed441510i0,32,2,ab32,32.atommap.svg,32
55847,ab6937233ab06e92e19b4eddd2f388e2a55e5cfa9767d6f5415b245b28764324i0,69,2,ab69,69.atommap.svg,69
55848,ab181a28c6f8a22912d6070901095bcbe0915898ada9a8862ab19f92cd892df7i0,18,0,ab18,18.atommap.svg,18
55849,ab7154ad47e892f5ec66c5c4e6298521c1b042c39ff44013fcac80c304603600i0,71,1,ab71,71.atommap.svg,71
55850,ab727ce95b5b37efb19b357b74abbc593fb6a8a0951885ac819ab2298c297322i0,72,1,ab72,72.atommap.svg,72
55851,ab171e367247b6046d2617fd1086a98b8677ff43b4b1612f47afaad2f002ec1bi0,17,0,ab17,17.atommap.svg,17
55852,ab347989d2281e8f63485aa0344d08d9a23cce8c064ecb48b679b9d95bfca2bai0,34,1,ab34,34.atommap.svg,34
55853,ab3571936f9e46237cf7747f886321de0d6033f2825c628bf29b599765606992i0,35,2,ab35,35.atommap.svg,35
55854,ab94ac65aa8dad8821c4bc6bc32d1d2a5501782761d67515b5c3b6f1d363650bi0,94,1,ab94,94.atommap.svg,94
55855,ab63705e6056b178a3b988ea676e14b8118b4aff08877b48f5d0313eb61f849ei0,63,1,ab63,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\63.atommap.svg,63
55856,ab5005b73c4c8770ad515f8c1cd9297e28b46312d042676f3e76c660086ac78fi0,50,0,ab50,50.atommap.svg,50
55857,ab120517171f8c7e655137b3e5b3a238ccd61ab5e98886d27e5b9eab63f57bf6i0,120,0,ab120,120.atommap.svg,120
55858,ab95f85b973fe1ba89bb3593ea4a7b311eac0150d6daa739ccb07458a29ff2dei0,95,1,ab95,95.atommap.svg,95
55859,ab64c186f2fa9d5d7d075678234f997de5207fc893e3a7bd754a1e728b61f1bdi0,64,0,ab64,64.atommap.svg,64
55860,ab11d1a6a23d19086caf3ee74f69b256ab8c17527b31381090e4d29d42e0a774i0,11,1,ab11,11.atommap.svg,11
55861,ab51f45f784aa45c257f7965ac74c9e1800d4cfcd773634c805097b0dae1bff9i0,51,0,ab51,51.atommap.svg,51
55862,ab48ec77221177baa4065932852c6a11cead39377f07c1ae29b7027f2518a390i0,48,1,ab48,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\48.atommap.svg,48
55863,ab950de048d4718f525199902d2552b21bc9a1d2a6d696cd66fab831cf87eaf9i0,95,2,ab95,95.atommap.svg,95
55872,ab93279663325b6faa0195155b8a655b707fa51e171437917beba4c2f5608b80i0,93,1,ab93,93.atommap.svg,93
55874,ab555c04a71452c1d9b16bc74d6e0fd24e90f6dfe81e81ed88b7d480d7b3d4d6i0,555,0,ab555,555.atommap.svg,555
55875,ab1987956fd5543908ad8988ddb711e0c0205dbd70c06b61bd9f80ea1b736ff7i0,19,1,ab19,19.atommap.svg,19
55876,ab9289ec5eb59590579d8033142f890fcf3680c833e475f7d8677d9032250554i0,92,1,ab92,92.atommap.svg,92
55877,ab6749ef4e6240f40d7c6ac114722629e1d404d12513a8ead012d1ecc1e8fcf5i0,67,1,ab67,67.atommap.svg,67
55878,ab946704eb03ac05bd661b508a33f1507cc41d039696117d07307c3940a695ffi0,94,2,ab94,94.atommap.svg,94
55879,ab333c3874929177b9be6842dbf1f32c69d856df893312181b221f6eaea1e92fi0,333,0,ab333,333.atommap.svg,333
55882,ab68e8234632a57ed2dc18d90e975bdaf577310606b83ba22f49bacb36a136aci0,68,2,ab68,68.atommap.svg,68
55884,ab1748645166658438db52f9acf63761e3d374e651e06ce922d5e41f1481d1f7i0,17,1,ab17,17.atommap.svg,17
55885,ab54298abb963371fe85b8fc2bb27713f272e9841e5e5d01c84d4d30ba888e44i0,54,1,ab54,54.atommap.svg,54
55886,ab59bfd1e03877558d52f8b06332a338297309f3ad5fa22e7082f601ffdf0012i0,59,0,ab59,59.atommap.svg,59
55888,ab1463366412104cde140d21eef82bbbf44a02ed2eef7fb6f4dd3998ac4e6821i0,14,1,ab14,C:\Users\85820\Desktop\pipe打图片\Atom-map-main\atommap_svg_final\14.atommap.svg,14
55890,ab7779bc360dc12013e5c5e6d019b7e812fd00550598a16bfd16601deaefd842i0,777,0,ab777,777.atommap.svg,777
55892,ab24103a2cbb130e557305deee9671e5d9a4b9cf4a86cb005e4b77ab262bead6i0,24,0,ab24,24.atommap.svg,24
55893,ab354465fdbbaf40984c6a860468e8f08048e13111c83108bb2b6191eafd3124i0,3,2,ab3,3.atommap.svg,3
55894,ab21d4532b53d1fd8f09e806d298d83d28f4079a792c37ff31a4cda1d2b65dd0i0,21,1,ab21,21.atommap.svg,21
55895,ab1194f28497dc01c1275533d219d05fa22c1434091fbfe86e99d6c489ce3de5i0,119,0,ab119,119.atommap.svg,119
55896,ab59fba0435638647e506da4533cdd538e283ef84e53eca59b4a3de8a936eb8fi0,59,1,ab59,59.atommap.svg,59
55897,ab6001518959e735b2650494e5e7877d7badbac4b54f514695bbf02a0091e21bi0,60,1,ab60,60.atommap.svg,60
55898,ab536d46996f553e0b3b5f6e49aa25c8433da2d7f3f94e4880c284a0905ac8a5i0,53,0,ab53,53.atommap.svg,53
55899,ab318b7d6227e655a08f8dfc51bbcf5feecf55b7ed318cbab59e03bf3eb24405i0,31,3,ab31,31.atommap.svg,31
55900,ab89f1cc0f8d52acc32cb57046ec6c267e5ec33f7ec674b4d2f6cea6d545646ei0,89,1,ab89,89.atommap.svg,89
55902,ab305859802568f8b22e0701888ef4249beff9126b88bf9f9ba75310affab02ei0,305,0,ab305,305.atommap.svg,305
55903,ab523a02a12828134c546662281d3a6f3ff8b03f78b6293ebf6122ddadf03f0ci0,52,2,ab52,52.atommap.svg,52
55904,ab65d3673e90ae037aeebdc018bf7483ae2ee05905e26ecb4c6e2d05747ea4d3i0,65,1,ab65,65.atommap.svg,65
55905,ab63696d42b9968adce742886c7018f8e89e552e356718c4bcffe7bf06773879i0,63,2,ab63,63.atommap.svg,63
55906,ab49aa1d7c97f9d87cc6168fe12b2c8dba2e1b664cf35c707031609b9b3b1600i0,49,2,ab49,49.atommap.svg,49
55908,ab740a93644025807cb0b9a907680f7a8b28b5c240083a31d49ba50d5206ab7fi0,74,0,ab74,74.atommap.svg,74
55911,ab110faafa030e1455cc6adccccbe2e88adf24dd7c8f1b6f2dd04a6834801224i0,110,0,ab110,110.atommap.svg,110
55912,ab524e9224934fd5c36caf8d9085fdb33f6897701f0f736484cacee32287028bi0,52,3,ab52,52.atommap.svg,52
55913,ab2221846be4e5cae733cc701678605cec74c955e0cd1b6d52616cd26b496546i0,222,0,ab222,222.atommap.svg,222
55915,ab98850101132fcb1d65067de47d3cf123192d600813b88ce393cfbf23e76b16i0,988,0,ab988,988.atommap.svg,988
55916,ab788c154174fb1ff4932eb5915396f4e40c6bc921dcf94c979f7a174f5c9a00i0,788,0,ab788,788.atommap.svg,788
55917,ab166f5709a1ee8ff242e16f80efa326e8f804562530d3a6b6132f52cf5bc3bfi0,166,0,ab166,166.atommap.svg,166
55929,ab5291583a738d0133d56ed4fe938407a82fd93a6d476c2cac60d3ddc2de1f9ci0,52,4,ab52,52.atommap.svg,52
55930,ab800634f773f556ddcb055ca5b0fb90d7ce26592b245fd6da26db82131b5053i0,800,0,ab800,800.atommap.svg,800
55931,ab270dbdb06ae7c405445edf5f1889343b4bc7472327b0357bb414b11a02bd6fi0,27,0,ab27,27.atommap.svg,27
55935,ab71ea91357696d25b4b980544783b6bcfca9f8c67f3181122df0ab21275a7aci0,71,2,ab71,71.atommap.svg,71
55937,ab73423d51a19faa69b7e55b7f4ec5cf66b2e8ee0f504b99e1ecb642a2cbe07ai0,73,2,ab73,73.atommap.svg,73
55941,ab2591180cc6940e67542cc20642425883cbf3c6efd2112424ff2ca8eadc4a1ei0,25,0,ab25,25.atommap.svg,25
55943,ab365ecc020a137de13c9f4550e2c22718bb7b21d1c1f0d846a6973a84c00495i0,36,2,ab36,36.atommap.svg,36
55951,ab1690b51e202a938c1f6ca06b6e7568decff9c7a10f93bee2eb2368aacdccf7i0,169,0,ab169,169.atommap.svg,169
55952,ab9916ea0c1b5e45719c1d29d36606f14517ea586ba2c1bddc838923006fd897i0,99,2,ab99,99.atommap.svg,99
55953,ab59fae0844bb02be0e03cafe4694c26e3304fde7e21275a8e5469a49b97b8d3i0,59,2,ab59,59.atommap.svg,59
55954,ab573b492898de3b8decce570cc837b05254e44978c3d69a8d06b1a25ba1c944i0,57,2,ab57,57.atommap.svg,57
55959,ab911ca623b99f0f759522168e0e90998c0094cc6b6dda9d6f33197b1015732ei0,911,0,ab911,911.atommap.svg,911
55962,ab570c581d3776a62d4a961b991042524d8fb4dcf15acd9fca583342c4f3b931i0,57,3,ab57,57.atommap.svg,57
55964,ab8743f845c4d6e5f4dcdbe3d612195cd96260980f9587de59f9926f3e41f0b0i0,87,1,ab87,87.atommap.svg,87
55965,ab8389a37753e6962261e3fc0afa50f67bd51174806770d17126f575607860fai0,83,1,ab83,83.atommap.svg,83
55966,ab209e579ec1f7a36a40f5acef68d8b26763030253f8c8fdb0fa18f179a74815i0,20,1,ab20,20.atommap.svg,20
55967,ab49253b984473407ca203f0c87f35ec4c8693ad2f161baa96551d66b4bdb491i0,49,3,ab49,49.atommap.svg,49
55968,ab30689d26b0076da2351c7ae9f064eb11420f87a163a41886ba7c873c4cbd3bi0,306,0,ab306,306.atommap.svg,306
55969,ab416763903ce3f197205498a908258783a5ee2a7115094c429fa1771fb87ec3i0,416,0,ab416,416.atommap.svg,416
55972,ab49a11bbf8c7db0a296a13e850bb8f26325e43e2eaa1a0a601b7c231bd272c2i0,49,4,ab49,49.atommap.svg,49
55973,ab78977cce69dfe027d1e9436ffcf64e1a50c04c24b59889bf37147c42895702i0,789,0,ab789,789.atommap.svg,789
55974,ab37788411757a842b0af106494c80541b60389e19433bbb1c811807fa1638d3i0,37,2,ab37,37.atommap.svg,37
55975,ab472df0f245e3d4e41be65516e51f4b22a581a87bec17d1a567376ce1554c90i0,47,3,ab47,47.atommap.svg,47
55980,ab4166d0cf46339fa5074f7c6c65ad92f4a3e5a0db802be8de60e25ff336a2efi0,41,1,ab41,41.atommap.svg,41
55982,ab316dfbf8ab2f4e1da5978440ba36c3bf393137caef8d8b0631f1c1d70b2662i0,31,4,ab31,31.atommap.svg,31
55983,ab112dea8d97442aae23e1134f72244b359f9aa0a79fb23b64f926edafc30edbi0,112,0,ab112,112.atommap.svg,112
55986,ab41c804935feca13ba2331aaa8b6edf0d0b99cd5cb08df8489c0af2db5a4391i0,41,2,ab41,41.atommap.svg,41
55988,ab7772ba34296d381e850e124c35428087885194cc273686c2e66ea692a9dde9i0,777,1,ab777,777.atommap.svg,777
55989,ab520f8985da89fb233c647b55996fd8ea7b2451036d8b65140eef3bbea3eb61i0,520,0,ab520,520.atommap.svg,520
55990,ab470f2330202c389fe47b1ea2b534c62d2431f1bbd161e5a0c8a915ae60a1bfi0,47,4,ab47,47.atommap.svg,47
55991,ab70e6858c3c8e1a2332cf98a0aee8f35df6078f422f47e0a1baf45bc7047096i0,70,2,ab70,70.atommap.svg,70
55992,ab66ca8573488f627f481270c53eae75f446fd93bd069936510f1feb04b812bdi0,66,1,ab66,66.atommap.svg,66
