atomical_number,atomical_id,atommap_number,sort,atomical_bitworkc,filepath,bitworkc_number
65165,ab99257c64ae10ce7be8d36b43c47badcf4e3156248cf3ebc4676a191d4a5654i0,9925,0,ab9925,9925.atommap.svg,9925
65166,ab993070c54a83483c876246ef429e7b50055c2045fc5180d3ce2c3be346dc58i0,9930,0,ab9930,9930.atommap.svg,9930
65167,ab7736f737963e21765ace0247ac59ea7ab9a6d7ec6fa81ecbbc8a8369a5e505i0,773,1,ab773,H:\users\773.atommap.svg,773
65168,ab411108f77a121626f3df61edc326b21fc66766ca6f6f0dfcbdbc139d35032ci0,4111,0,ab4111,C:\4111.atommap.svg,4111
65169,ab426e8737ee6ab200204675f2a5d4e3841b95b5e2a5ec323d9d6d02edb07f77i0,42,3,ab42,42.atommap.svg,42
65170,ab4971ef7f4f398a3dcf5bf1611dd360a9b9ff6d6c873e9de7df7399b409b502i0,49,8,ab49,49.atommap.svg,49
65171,ab674ae7ded3bdff679a461c782df3ce89274b2659a4e860d5c8b7967859166di0,67,8,ab67,67.atommap.svg,67
65172,ab464f1eb8f22be134e70a7f19d39083c63d7a3d78949594f78142a050a8d2e8i0,46,6,ab46,46.atommap.svg,46
65173,ab364e31f53e41b491785e38d8fc74df5875d2cab057402fc7d62f2d6ec148adi0,36,4,ab36,36.atommap.svg,36
65174,ab8246955c6b4d8a03ef161eaa62ece1a85de490ed13c52d612ad8e576f00b87i0,82,3,ab82,82.atommap.svg,82
65175,ab81a48b3d9ad74c89ae7119671d501e45f2afcc3fd56afaa91bca9e112c71bdi0,81,9,ab81,81.atommap.svg,81
65176,ab77d4ede22a4af4d4e6c09f5c90d47bb2daf6f371176eab0a0ca8e03e19c50di0,77,6,ab77,77.atommap.svg,77
65177,ab8706b506ab007171b9b1f916526f7d43efc995dd32b8121c3e9c4af2b85120i0,87,4,ab87,87.atommap.svg,87
65178,ab194843ce3e2c1ceb7f33bc841285de903d32294e8662aea0044afa76cb69bai0,19,6,ab19,19.atommap.svg,19
65179,ab30099b83d0b904fd8e6b2ceaa5820b763cd05938c634cd9ea580da20b40c24i0,3009,0,ab3009,3009.atommap.svg,3009
65181,ab36ec0595c6777116d1d232f9441ce1fd9b11ff5a775a8a9c3f260ebc41acc9i0,36,5,ab36,36.atommap.svg,36
65182,ab37ecf17bd2f1353780f67aa9b50af8dbe476b31033ea60301b36ce8e6740cbi0,37,5,ab37,37.atommap.svg,37
65183,ab3859bede49c47c0c1a7e57d2f99f5567d4a1530f28f73993863724a5012d30i0,38,1,ab38,38.atommap.svg,38
65184,ab90b17770c5cfb7ad35e9993c4887d10a22d5f2353fad0bfbe1d5da14d834d0i0,90,5,ab90,90.atommap.svg,90
65185,ab69eaa72e6939f5b49c49aabb3b8ae05c1a1b884d1926ea7aadaef19f09072bi0,69,11,ab69,69.atommap.svg,69
65186,ab77d52cc7ee0074802dbe61a34312b34c9b5264cb5f100ed6322bdc51c00f9ai0,77,7,ab77,77.atommap.svg,77
65187,ab58c01888d34b2fd026cdfdb926b527222e97e2cb04db58dc039d86d65901cdi0,58,5,ab58,58.atommap.svg,58
65188,ab268b0464f2c31ff106e4341dc2495bc71376704c7f797f143ae98997c8141bi0,26,3,ab26,26.atommap.svg,26
65189,ab32fd98a874a90de430b2603c8de8f653d96ac47213c9a089b24b8c7a17117fi0,32,6,ab32,32.atommap.svg,32
65190,ab666c96be18aec08c8c4b3882e8f6b02db724501a74260cafff5b7e0e8d8203i0,666,5,ab666,666.atommap.svg,666
65191,ab9811b278e9a3ed999e92309914f3506da9fda279e4d23f3e0734522d727e2bi0,98,4,ab98,98.atommap.svg,98
65192,ab92f64facda9cfd6953803b4009aec77c89c421ffae043b4cdb0a1b4cebe983i0,92,5,ab92,92.atommap.svg,92
65193,ab39fc23bf203ad07d629346c156f7b2ef24541bb5ec7ac5fff9e74b57d4cc39i0,39,3,ab39,39.atommap.svg,39
65194,ab8907ef15ea00b3b47b3d3adc6c5635f04c216871f62c869c030581c83a00c0i0,89,5,ab89,89.atommap.svg,89
65195,ab71dd8468e0ce1ca0fd8eb94c6fb48f692f156d9f7cadf6401ffd6b8c738992i0,71,6,ab71,71.atommap.svg,71
65196,ab31f28d2d1945410a7f7b4e75e6be5b4fe2a8b9c130ebb53bbafc948efb1fa5i0,31,10,ab31,31.atommap.svg,31
65197,ab343c342af4bb975095b566c579c7cf0ac9899046d66f8054f2ec75399f401fi0,34,4,ab34,34.atommap.svg,34
65198,ab9252a36fea476a2c045cb93feca6eb1cb46c25bd076a0d41c01d6594ddda65i0,92,6,ab92,92.atommap.svg,92
65199,ab360e65bbde97a27a90e6344ce17fc7d635892917b4677d3e270b5cfaa40e58i0,3,6,ab3,3.atommap.svg,3
65200,ab1a361a78ca25b69608be777b622ce0c89c013ef876a2a15a65c9a521038647i0,1,4,ab1,1.atommap.svg,1
65203,ab76764b5d2d50734c2c1c1d40aed12f465c0fadc886fddeac0a54d3244ccc6ei0,7676,0,ab7676,C:\7676.atommap.svg,7676
65209,ab2070c96de72c8227c18116e1ddea3d42457d326cc81152330add84cde438f3i0,2070,0,ab2070,2070.atommap.svg,2070
65210,ab1082835b5425abc63db2e15df9874710e376dc47a938b7d090619a8b855054i0,1082,0,ab1082,1082.atommap.svg,1082
65219,ab8998860f83e14277ed25cfa9dabfaaa34c00bcfe48a67c5d69144a607a8085i0,8998,0,ab8998,8998.atommap.svg,8998
65221,ab6898fa9f9ba4878caac8a0a2d43791f73a748aa49d0a62496b953937d88aa4i0,6898,0,ab6898,6898.atommap.svg,6898
65222,ab1981f70bf44c3674f962ca1b4e52ee1c57ffde86eb34418a1d2c81e886a9f1i0,1981,0,ab1981,1981.atommap.svg,1981
65225,ab70000bc979afeb0b8e42360b3a917660e1a289225f10756e8fa1fdbb54d940i0,7000,0,ab7000,7000.atommap.svg,7000
65229,ab19696068e5ade1443381a0e5f4acc3ba448b77c8ed323355ea3d7211a931c1i0,1969,0,ab1969,1969.atommap.svg,1969
65232,ab492f700c7fc774f3f9598fb630cc1dfb43857818d648374840c64510fd775ei0,492,2,ab492,H:\users\492.atommap.svg,492
65233,ab205d0807a0a0660639ed963bf64437ab1b9458fcf3f975ec5d1ba6b9b6c3bei0,205,1,ab205,205.atommap.svg,205
65234,ab67762f829a78d48122c47b12072998d53dbcb5e57dc393252205b660e1fb2ei0,6776,0,ab6776,C:\6776.atommap.svg,6776
65235,ab82962ff2c71f7d3bf2e544c9504e50920dfd3a9d1a1a20c6d303dd9e10c676i0,8296,0,ab8296,8296.atommap.svg,8296
65236,ab93393af1dc5acc92b3feed83b856c829d3cf8f91062483af3090a41581dcd9i0,9339,0,ab9339,9339.atommap.svg,9339
65237,ab53337e6a0200e979a5764138634be119589038e3782c68752171476f0499d5i0,5333,0,ab5333,5333.atommap.svg,5333
65238,ab7092302c0e2e42582f52157de105472532ef628fe613a4c5300dccad4629f1i0,7092,0,ab7092,7092.atommap.svg,7092
65239,ab995c2e0b4557f9a2c18972dc8bd012ee7238cb1d73829c4e4e87fd48f0fd5bi0,99,10,ab99,99.atommap.svg,99
65240,ab777d551c44c86b9674a776c0eaece3e0a9da4b50816da1a4f940cdbfdc209fi0,777,4,ab777,777.atommap.svg,777
65241,ab141a32fe95efe2783462544d318aa2599931faf9e21a282f5f5f3702ac188bi0,14,3,ab14,14.atommap.svg,14
65242,ab5486643c147feffa1ff124998fdb86c02aca15bd3e69fac98f79399f71008fi0,5,3,ab5,5.atommap.svg,5
65243,ab4b5272f87f575dc766296fe71ba1eb390d786a951fc4c5e46c135ab54e0918i0,4,10,ab4,4.atommap.svg,4
65253,ab9721cc9f1066165b5435df5d2aad3904709c325cecfa03eaf59703bae71500i0,97,5,ab97,97.atommap.svg,97
65254,ab3355f228e7e37b997d17c32d817393cf574f7b6303391ea845b1039991db34i0,33,6,ab33,33.atommap.svg,33
65255,ab118b7f10ccbfcb2bc2976184b588215f72cacabcbe2ca6f9f33252c53add84i0,11,5,ab11,11.atommap.svg,11
65257,ab664d9dad4e7d5faeaf40eb6cb2e8bdc476e1ee863f998535da9dfe7c0f7856i0,6,9,ab6,6.atommap.svg,6
65258,ab1479c47cdc126a854c8817006c43d0229bb3e0a505c51a24c632f7c31c9db2i0,1479,0,ab1479,1479.atommap.svg,1479
65259,ab7b9a3db9ecbdaecd9a71af8a17cdc3627e25599007823851a66e2f8815e19ai0,7,5,ab7,7.atommap.svg,7
65260,ab34956390dd0256bde7ef94588dbbe60cb9778a4b41e36ad4ad88b8491b01ddi0,349,2,ab349,349.atommap.svg,349
65267,ab661d076fc9fababbaafe083857960c3f1f30525f6ace2aa4085b23fcde12ebi0,66,10,ab66,66.atommap.svg,66
65269,ab68d38ece4f983a2a0bf6576256b4b19f8615b0e4abd270eb00ab443e43ec48i0,68,8,ab68,68.atommap.svg,68
65270,ab6a71982d895938d981c67dc11ca4b3be78a39a6e446f9ded706d4c4ec30920i0,6,10,ab6,6.atommap.svg,6
65271,ab01cdebd307c1a6b3f262b37cc767a1938458d95e5bf1f059a825226deea335i0,0,11,ab0,0.atommap.svg,0
65272,ab1348c8b1253b87f03a449b9bd61bb1b4b163aa8bd590590a0c3821af83e991i0,1,5,ab1,1.atommap.svg,1
65273,ab2fd80ba6cf3e043d513194450724268b6bfc56b090ca84bcb609264e31aea0i0,2,11,ab2,2.atommap.svg,2
65274,ab7e2ab6390c5dffa14ea510af7074600d829d2ac90c74e3fa910acdda7b22c6i0,7,6,ab7,7.atommap.svg,7
65275,ab8c3f43d688050fbe59b1784dd5bf25601b9b8e3adb5bcf3603f45f977181dbi0,8,6,ab8,8.atommap.svg,8
